No.,Name,Date,Location
480,Sharp-shinned Hawk,"Oct. 19, 2025","Songbird Morning Flight, Cape May, NJ"
479,Pectoral Sandpiper,"Oct. 18, 2025","Edwin B. Forsyth NWR, Cape May, NJ"
478,Ring-necked Pheasant,"Oct. 11, 2025","Sachuest Point NWR, Middletown, RI"
477,White-rumped Sandpiper,"Aug. 9, 2025","Parker River NWR, Newbury, MA"
476,Tufted Puffin,"Jul. 27, 2025","Cannon Beach, OR"
475,Pigeon Guillemot,"Jul. 27, 2025","Cannon Beach, OR"
474,Common Murre,"Jul. 27, 2025","Cannon Beach, OR"
473,Western Gull,"Jul. 27, 2025","Cannon Beach, OR"
472,American Dipper,"Jul. 26, 2025","South Falls, Silverton, OR"
471,Red-necked Phalarope,"May 28, 2025","Fuglaskoðunarhús, Iceland"
470,Whimbrel,"May 27, 2025","Viðey, Iceland"
469,Parasitic Jaeger,"May 27, 2025","Viðey, Iceland"
468,Common Shelduck,"May 27, 2025","Viðey, Iceland"
467,Black-tailed Godwit,"May 27, 2025","Viðey, Iceland"
466,Black-legged Kittiwake,"May 27, 2025","Viðey, Iceland"
465,Black Guillemot,"May 27, 2025","Reykjavik, Iceland"
464,Atlantic Puffin,"May 27, 2025","Reykjavik, Iceland"
463,Northern Fulmar,"May 27, 2025","Reykjavik, Iceland"
462,Common Ringed Plover,"May 26, 2025","Reykjavik, Iceland"
461,Eurasian Wigeon,"May 26, 2025","Reykjavik, Iceland"
460,Arctic Tern,"May 26, 2025","Reykjavik, Iceland"
459,Whooper Swan,"May 26, 2025","Reykjavik, Iceland"
458,Graylag Goose,"May 26, 2025","Reykjavik, Iceland"
457,Tufted Duck,"May 26, 2025","Reykjavik, Iceland"
456,Goldcrest,"May 26, 2025","Öskjuhlíð, Iceland"
455,Meadow Pipit,"May 26, 2025","Öskjuhlíð, Iceland"
454,Common Snipe,"May 26, 2025","Öskjuhlíð, Iceland"
453,Common Redshank,"May 26, 2025","Öskjuhlíð, Iceland"
452,Red Knot,"May 26, 2025","Öskjuhlíð, Iceland"
451,Eurasian Oystercatcher,"May 26, 2025","Öskjuhlíð, Iceland"
