No.,Name,Date,Location
481,Sharp-shinned Hawk,"Oct. 19th, 2025","Cape May Songbird Morning Flight, Cape May, NJ"
480,Pectoral Sandpiper,"Oct. 18th, 2025","Edwin B. Forsyth NWR, Cape May, NJ"
479,Ring-necked Pheasant,"Oct. 11th, 2025","Sachuest Point NWR, Middletown, RI"
478,White-rumped Sandpiper,"Aug. 9th, 2025","Parker River NWR, Newbury, MA"
477,Tufted Puffin,"Jul. 27th, 2025","Cannon Beach, OR"
476,Pigeon Guillemot,"Jul. 27th, 2025","Cannon Beach, OR"
475,Common Murre,"Jul. 27th, 2025","Cannon Beach, OR"
474,Western Gull,"Jul. 27th, 2025","Cannon Beach, OR"
473,American Dipper,"Jul. 26th, 2025","South Falls, Silverton, OR"
472,Red-necked Phalarope,"May 28th, 2025","Fuglaskoðunarhús, Iceland"
471,Whimbrel,"May, 27th, 2025","Viðey, Iceland"
470,Parasitic Jaeger,"May, 27th, 2025","Viðey, Iceland"
469,Common Shelduck,"May, 27th, 2025","Viðey, Iceland"
468,Black-tailed Godwit,"May, 27th, 2025","Viðey, Iceland"
467,Black-legged Kittiwake,"May, 27th, 2025","Viðey, Iceland"
466,Black Guillemot,"May, 27th, 2025","Reykjavik, Iceland"
465,Atlantic Puffin,"May, 27th, 2025","Reykjavik, Iceland"
464,Northern Fulmar,"May, 27th, 2025","Reykjavik, Iceland"
463,Common Ringed Plover,"May 26th, 2025","Reykjavik, Iceland"
462,Eurasian Wigeon,"May 26th, 2025","Reykjavik, Iceland"
461,Arctic Tern,"May 26th, 2025","Reykjavik, Iceland"
460,Whooper Swan,"May 26th, 2025","Reykjavik, Iceland"
459,Graylag Goose,"May 26th, 2025","Reykjavik, Iceland"
458,Tufted Duck,"May 26th, 2025","Reykjavik, Iceland"
457,Goldcrest,"May 26th, 2025","Öskjuhlíð, Iceland"
456,Meadow Pipit,"May 26th, 2025","Öskjuhlíð, Iceland"
455,Common Snipe,"May 26th, 2025","Öskjuhlíð, Iceland"
454,Common Redshank,"May 26th, 2025","Öskjuhlíð, Iceland"
453,Red Knot,"May 26th, 2025","Öskjuhlíð, Iceland"
452,Eurasian Oystercatcher,"May 26th, 2025","Öskjuhlíð, Iceland"
451,European Herring Gull,"May 26th, 2025","Öskjuhlíð, Iceland"
450,Redpoll,"May 26th, 2025","Öskjuhlíð, Iceland"
449,Redwing,"May 26th, 2025","Öskjuhlíð, Iceland"
448,Yellow-bellied Flycatcher,"May 21st, 2025","McLaughlin Woods, Boston, MA"
447,Yellow-billed Cuckoo,"May 17th, 2025","John Heinz NWR, Philadelphia, PA"
446,Orchard Oriole,"May 11th, 2025",Valley Forge NHP
445,Swainson’s Thrush,"May 7th, 2025","Amory Woods, Brookline, MA"
444,Calliope Hummingbird,"Apr 11th, 2025","Ash Canyon Bird Sanctuary, AZ"
443,Broad-tailed Hummingbird,"Apr 11th, 2025","Ash Canyon Bird Sanctuary, AZ"
442,Scott’s Oriole,"Apr 11th, 2025","Ash Canyon Bird Sanctuary, AZ"
441,Canyon Towhee,"Apr 11th, 2025","Ash Canyon Bird Sanctuary, AZ"
440,Cassin’s Vireo,"Apr. 10th, 2025","Paton Center for the Hummingbird, AZ"
439,Green-tailed Towhee,"Apr. 10th, 2025","Paton Center for the Hummingbird, AZ"
438,Gambel’s Quail,"Apr. 10th, 2025","Paton Center for the Hummingbird, AZ"
437,Violet-crowned Hummingbird,"Apr. 10th, 2025","Paton Center for the Hummingbird, AZ"
436,Costa’s Hummingbird,"Apr. 10th, 2025","Paton Center for the Hummingbird, AZ"
435,Rufous Hummingbird,"Apr. 10th, 2025","Paton Center for the Hummingbird, AZ"
434,Berylline Hummingbird,"Apr. 10th, 2025","Madera Kubo B&B, AZ"
433,Lazuli Bunting,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
432,Hepatic Tanager,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
431,Black-headed Grosbeak,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
430,Mexican Jay,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
429,Arizona Woodpecker,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
428,Rivoli’s Hummingbird,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
427,Black-chinned Hummingbird,"Apr. 10th, 2025","Santa Rita Lodge, AZ"
426,Broad-billed Hummingbird,"Apr. 9th, 2025","Agua Caliente Regional Park, AZ"
425,Greater Roadrunner,"Apr. 9th, 2025","Agua Caliente Regional Park, AZ"
424,Painted Redstart,"Apr. 9th, 2025","Mt. Lemmon, AZ"
423,Violet-green Swallow,"Apr. 9th, 2025","Mt. Lemmon, AZ"
422,Olive Warbler,"Apr. 9th, 2025","Mt. Lemmon, AZ"
421,Pygmy Nuthatch,"Apr. 9th, 2025","Mt. Lemmon, AZ"
420,Yellow-eyed Junco,"Apr. 9th, 2025","Mt. Lemmon, AZ"
419,Abert’s Towhee,"Apr. 9th, 2025","Saguaro National Park, AZ"
418,Cactus Wren,"Apr. 9th, 2025","Saguaro National Park, AZ"
417,Lucy’s Warbler,"Apr. 9th, 2025","Saguaro National Park, AZ"
416,Black Skimmer,"Apr. 8th, 2025","Costco, San Fransisco, CA"
415,Ridgway’s Rail,"Apr. 8th, 2025","Costco, San Fransisco, CA"
414,Chestnut-backed Chickadee,"Apr. 7th, 2025","San Fransisco, CA"
413,Black Oystercatcher,"Apr. 6th, 2025","Beach, Mill Valley, CA"
412,Pacific Wren,"Apr. 6th, 2025","Muir Woods, CA"
411,Steller’s Jay,"Apr. 6th, 2025","Muir Woods, CA"
410,Black Turnstone,"Apr. 5th, 2025","Cesar Chavez Park, Berkeley, CA"
409,Forster’s Tern,"Apr. 5th, 2025","Cesar Chavez Park, Berkeley, CA"
408,Acorn Woodpecker,"Apr. 5th, 2025","Oakland, CA"
407,Lark Sparrow,"Apr. 4th, 2025","Richmond, CA"
406,Golden-crowned Sparrow,"Apr. 4th, 2025","Richmond, CA"
405,Allen’s Hummingbird,"Apr. 4th, 2025","Richmond, CA"
404,West Indian Whistling-Duck,"Feb. 20th - 27th, 2025",Puerto Rico Tour
403,White-cheeked Pintail,"Feb. 20th - 27th, 2025",Puerto Rico Tour
402,Scaly-naped Pigeon,"Feb. 20th - 27th, 2025",Puerto Rico Tour
